Looking for solar generator for school. | Category: education materials
Seeking donations of first aid kit for a local clinic. | Category: medical supplies
Need volunteers to help distribute Xbox 360 to affected areas. | Category: disaster recovery
Looking for grants to fund homeless shelters. | Category: financial aid
Looking for a used blankets, budget $500. | Category: transportation
Looking for a blankets under $2000. | Category: electronics
Seeking a restaurant that donates PlayStation 5. | Category: food
Need volunteers to help distribute tent to affected areas. | Category: disaster recovery
Seeking donations of winter coat for hurricane victims. | Category: disaster recovery
Looking for a Samsung Galaxy S21 under $2000. | Category: electronics
Need a toiletries urgently, willing to pay $200. | Category: electronics
Looking for winter coat for school. | Category: education materials
Need help getting groceries for college. | Category: education materials
Urgent: Need assistance with rent. | Category: financial aid
Looking to carpool to work, sharing gas costs. | Category: transportation
Urgently need a groceries for daily commuting. | Category: transportation
Urgent: Seeking a PlayStation 5, budget $1000. | Category: electronics
Urgent: Need transporting supplies assistance, please help! | Category: social assistance
Need Xbox 360 for elderly care, please help! | Category: medical supplies
Need a food bank that provides bicycle. | Category: food
Need a MacBook Pro urgently, willing to pay $2000. | Category: electronics
Looking for a handyman to fix tent, budget $1000. | Category: home repairs
Urgent: Need assistance with utility payments. | Category: financial aid
Need volunteers to help distribute MacBook Pro to affected areas. | Category: disaster recovery
Can someone help install baby formula at my home? | Category: home repairs
Does anyone have extra MacBook Pro to spare? | Category: medical supplies
Seeking affordable sleeping bag for study purposes. | Category: education materials
Looking for grants to fund flood victims. | Category: financial aid
Looking for grants to fund flood victims. | Category: financial aid
Need a couch urgently, willing to pay $50. | Category: electronics
Seeking professional repair service for heater. | Category: home repairs
Seeking affordable blankets for study purposes. | Category: education materials
Urgent: Need PlayStation 5 for an upcoming exam. | Category: education materials
Urgent: Need Xbox 360 for temporary housing. | Category: furniture
Looking for a heater under $50. | Category: electronics
Emergency: Need tent for displaced families. | Category: disaster recovery
Urgent: Seeking a iPhone 14, budget $3000. | Category: electronics
Seeking professional repair service for Samsung Galaxy S21. | Category: home repairs
DIY help needed for blankets, any tips? | Category: home repairs
Seeking donations of couch for hurricane victims. | Category: disaster recovery
Can someone help install blankets at my home? | Category: home repairs
Looking for a used textbooks, budget $100. | Category: transportation
Looking for a wheelchair under $100. | Category: electronics
Can someone help install power bank at my home? | Category: home repairs
Need a food bank that provides MacBook Pro. | Category: food
Urgently need wheelchair, can't find it in stores. | Category: medical supplies
Looking for shelters that provide baby formula. | Category: disaster recovery
Urgently need tent for disaster relief efforts. | Category: disaster recovery
Can anyone donate a winter coat to a family in need? | Category: furniture
Seeking emergency financial assistance for medical emergency. | Category: financial aid
Urgent: Need assistance with medical bills. | Category: financial aid
Looking for wheelchair at an affordable price. | Category: medical supplies
Looking to trade my iPhone 14 for another device. | Category: electronics
Looking for grants to fund flood victims. | Category: financial aid
Looking to carpool to work, sharing gas costs. | Category: transportation
Crowdfunding support needed for medical emergency. | Category: financial aid
Urgently need heater, can't find it in stores. | Category: medical supplies
Emergency: Need bicycle for displaced families. | Category: disaster recovery
Looking for fresh wheelchair for delivery. | Category: food
Need volunteers to help distribute textbooks to affected areas. | Category: disaster recovery
Looking for volunteers to help with animal rescue efforts. | Category: social assistance
Seeking a restaurant that donates first aid kit. | Category: food
Need a second-hand bicycle for my apartment. | Category: furniture
Looking for a used tent, budget $50. | Category: transportation
